,Company Name,Ticker
4239,Gladstone Land Corporation Common Stock,LAND
4240,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,LANDM
4241,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,LANDO
4242,Landmark Bancorp Inc. Common Stock,LARK
4243,nLIGHT Inc. Common Stock,LASR
4244,Laureate Education Inc. Class A Common Stock,LAUR
4245,CS Disco Inc. Common Stock,LAW
4246,Lawson Products Inc. Common Stock,LAWS
4247,Lazard LTD. Lazard LTD. Class A Common Stock,LAZ
4248,Luminar Technologies Inc.  Class A Common Stock,LAZR
4249,Lazydays Holdings Inc. Common Stock,LAZY
4250,Lakeland Bancorp Inc. Common Stock,LBAI
4251,Luther Burbank Corporation Common Stock,LBC
4252,Longboard Pharmaceuticals Inc. Common Stock,LBPH
4253,4D pharma plc American Depositary Shares,LBPS
4254,4D pharma plc Warrant,LBPSW
4255,Liberty Broadband Corporation Class A Common Stock,LBRDA
4256,Liberty Broadband Corporation Class C Common Stock,LBRDK
4257,Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock,LBRDP
4258,Liberty Oilfield Services Inc. Class A Common Stock,LBRT
4259,Liberty Global plc Class A Ordinary Shares,LBTYA
4260,Liberty Global plc Class B Ordinary Shares,LBTYB
4261,Liberty Global plc Class C Ordinary Shares,LBTYK
4262,LendingClub Corporation Common Stock,LC
4263,Landcadia Holdings IV Inc. Class A Common Stock,LCA
4264,L Catterton Asia Acquisition Corp Class A Ordinary Shares,LCAA
4265,L Catterton Asia Acquisition Corp Warrant,LCAAW
4266,Landcadia Holdings IV Inc. Units,LCAHU
4267,Landcadia Holdings IV Inc. Warrant ,LCAHW
4268,Lionheart Acquisition Corp. II Class A Common Stock,LCAP
4269,Lionheart Acquisition Corp. II Unit,LCAPU
4270,Lionheart Acquisition Corp. II Warrant,LCAPW
4271,Lannett Co Inc Common Stock,LCI
4272,Lucid Group Inc. Common Stock,LCID
4273,LCI Industries,LCII
4274,LCNB Corporation Common Stock,LCNB
4275,Lineage Cell Therapeutics Inc. Common Stock,LCTX
4276,Lifetime Brands Inc. Common Stock,LCUT
4277,LDH Growth Corp I Class A Ordinary Shares,LDHA
4278,LDH Growth Corp I Units,LDHAU
4279,LDH Growth Corp I Warrant,LDHAW
4280,loanDepot Inc. Class A Common Stock,LDI
4281,Leidos Holdings Inc. Common Stock,LDOS
4282,Cohen & Steers Limited Duration Preferred and Income Fund Inc.,LDP
4283,Lands' End Inc. Common Stock,LE
4284,Lear Corporation Common Stock,LEA
4285,Ribbit LEAP Ltd. Class A Ordinary Shares,LEAP
4286,Lincoln Electric Holdings Inc. Common Shares,LECO
4287,SemiLEDS Corporation Common Stock,LEDS
4288,Lee Enterprises Incorporated Common Stock,LEE
4289,Leggett & Platt Incorporated Common Stock,LEG
4290,Lead Edge Growth Opportunities Ltd Class A Ordinary Shares,LEGA
4291,Lead Edge Growth Opportunities Ltd Units,LEGAU
4292,Lead Edge Growth Opportunities Ltd Warrant,LEGAW
4293,Legacy Housing Corporation Common Stock (TX),LEGH
4294,Legend Biotech Corporation American Depositary Shares,LEGN
4295,Leju Holdings Limited American Depositary Shares each representing one Ordinary share,LEJU
4296,Lennar Corporation Class A Common Stock,LEN
4297,BNY Mellon Strategic Municipals Inc. Common Stock,LEO
4298,Leslie's Inc. Common Stock,LESL
4299,Centrus Energy Corp. Class A Common Stock,LEU
4300,The Lion Electric Company Common Shares,LEV
4301,Levi Strauss & Co Class A Common Stock,LEVI
4302,Level One Bancorp Inc. Common Stock,LEVL
4303,Level One Bancorp Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 7.50% Non-Cumulative Perpetual Preferred Stock Series B,LEVLP
4304,Lexaria Bioscience Corp. Common Stock,LEXX
4305,Lexaria Bioscience Corp. Warrant,LEXXW
4306,China Life Insurance Company Limited American Depositary Shares,LFC
4307,Archaea Energy Inc. Class A Common Stock,LFG
4308,LifeMD Inc. Common Stock,LFMD
4309,LifeMD Inc. 8.875% Series A Cumulative Perpetual Preferred Stock,LFMDP
4310,LifeStance Health Group Inc. Common Stock,LFST
4311,Lument Finance Trust Inc. Common Stock,LFT
4312,Lument Finance Trust Inc. 7.875% Series A Cumulative Redeemable Preferred Stock,LFT^A
4313,Lefteris Acquisition Corp. Class A Common Stock,LFTR
4314,Lefteris Acquisition Corp. Unit,LFTRU
4315,Lefteris Acquisition Corp. Warrant,LFTRW
4316,Littelfuse Inc. Common Stock,LFUS
4317,Lifevantage Corporation Common Stock (Delaware),LFVN
4318,Lazard Growth Acquisition Corp. I Ordinary Shares,LGAC
4319,Lazard Growth Acquisition Corp. I Units,LGACU
4320,Lazard Growth Acquisition Corp. I Warrants,LGACW
4321,Lion Group Holding Ltd. American Depositary Share,LGHL
4322,Lion Group Holding Ltd. Warrant,LGHLW
4323,Lazard Global Total Return and Income Fund Common Stock,LGI
4324,LGI Homes Inc. Common Stock,LGIH
4325,LGL Group Inc. (The) Common Stock,LGL
4326,Ligand Pharmaceuticals Incorporated Common Stock,LGND
4327,Largo Resources Ltd. Common Shares,LGO
4328,Longview Acquisition Corp. II Class A Common Stock,LGV
4329,Longeveron Inc. Class A Common Stock,LGVN
4330,Laboratory Corporation of America Holdings Common Stock,LH
4331,Lerer Hippeau Acquisition Corp. Class A Common Stock,LHAA
4332,Leo Holdings Corp. II Class A Ordinary Shares,LHC
4333,LHC Group Common Stock,LHCG
4334,Lucira Health Inc. Common Stock,LHDX
4335,L3Harris Technologies Inc. Common Stock,LHX
4336,Li Auto Inc. American Depositary Shares,LI
4337,Li-Cycle Holdings Corp. Common Shares,LICY
4338,AEye Inc. Class A Common Stock,LIDR
4339,AEye Inc. Warrant,LIDRW
4340,aTyr Pharma Inc. Common Stock,LIFE
4341,Lennox International Inc. Common Stock,LII
4342,Leo Holdings III Corp. Class A Ordinary Shares,LIII
4343,Liberty Latin America Ltd. Class A Common Stock,LILA
4344,Liberty Latin America Ltd. Class C Common Stock,LILAK
4345,Lilium N.V. Class A Ordinary Shares,LILM
4346,Lilium N.V. Warrants,LILMW
4347,Linde plc Ordinary Share,LIN
4348,Lincoln Educational Services Corporation Common Stock,LINC
4349,Lindblad Expeditions Holdings Inc. Common Stock,LIND
4350,Interlink Electronics Inc. Common Stock,LINK
4351,LiqTech International Inc. Common Stock,LIQT
4352,LightInTheBox Holding Co. Ltd. American Depositary Shares each representing 2 ordinary shares,LITB
4353,Lumentum Holdings Inc. Common Stock,LITE
4354,Logistics Innovation Technologies Corp. Class A Common Stock,LITT
4355,Logistics Innovation Technologies Corp. Units,LITTU
4356,Logistics Innovation Technologies Corp. Warrant,LITTW
4357,Live Ventures Incorporated Common Stock,LIVE
4358,LivaNova PLC Ordinary Shares,LIVN
4359,Lixte Biotechnology Holdings Inc. Common Stock,LIXT
4360,Lixte Biotechnology Holdings Inc. Warrants,LIXTW
4361,LIZHI INC. American Depositary Shares,LIZI
4362,LightJump Acquisition Corporation Common Stock,LJAQ
4363,LightJump Acquisition Corporation Unit,LJAQU
4364,LightJump Acquisition Corporation Warrant,LJAQW
4365,La Jolla Pharmaceutical Company Common Stock,LJPC
4366,Luokung Technology Corp Ordinary Shares,LKCO
4367,Lakeland Financial Corporation Common Stock,LKFN
4368,LKQ Corporation Common Stock,LKQ
4369,Lumber Liquidators Holdings Inc Common Stock,LL
4370,JX Luxventure Limited Common Stock,LLL
4371,Limelight Networks Inc. Common Stock,LLNW
4372,Eli Lilly and Company Common Stock,LLY
4373,Liberty Media Acquisition Corporation Series A Common Stock,LMACA
4374,Liberty Media Acquisition Corporation Unit,LMACU
4375,Liberty Media Acquisition Corporation Warrants,LMACW
4376,LMF Acquisition Opportunities Inc. Class A common stock,LMAO
4377,LMF Acquisition Opportunities Inc. Unit,LMAOU
4378,LMF Acquisition Opportunities Inc. Warrant,LMAOW
4379,LeMaitre Vascular Inc. Common Stock,LMAT
4380,Limbach Holdings Inc. Common Stock,LMB
4381,LumiraDx Limited Common Shares,LMDX
4382,LumiraDx Limited Warrant,LMDXW
4383,LM Funding America Inc. Common Stock,LMFA
4384,Lemonade Inc. Common Stock,LMND
4385,Liminal BioSciences Inc. Common Shares,LMNL
4386,Limoneira Co Common Stock,LMNR
4387,LMP Automotive Holdings Inc. Common Stock,LMPX
4388,Landmark Infrastructure Partners LP Common Units,LMRK
4389,Landmark Infrastructure Partners LP 7% Series C Fltg/Fxd Perpetual Conv Preferred Stock,LMRKN
4390,Landmark Infrastructure Partners LP Perpetual Preferred Units Series B 7.90%,LMRKO
4391,Landmark Infrastructure Partners LP 8.00% Series A Cumulative Redeemable Perpetual Preferred Units,LMRKP
4392,Limestone Bancorp Inc. Common Stock,LMST
4393,Lockheed Martin Corporation Common Stock,LMT
4394,Lincoln National Corporation Common Stock,LNC
4395,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),LND
4396,Landec Corporation Common Stock (DE),LNDC
4397,L&amp;F Acquisition Corp. Class A Ordinary Shares,LNFA
4398,Cheniere Energy Inc. Common Stock,LNG
4399,Lindsay Corporation Common Stock,LNN
4400,LENSAR Inc. Common Stock,LNSR
4401,Alliant Energy Corporation Common Stock,LNT
4402,Lantheus Holdings Inc. Common Stock,LNTH
4403,Manhattan Bridge Capital Inc,LOAN
4404,Live Oak Bancshares Inc. Common Stock,LOB
4405,El Pollo Loco Holdings Inc. Common Stock,LOCO
4406,Comstock Mining Inc. Common Stock,LODE
4407,LogicBio Therapeutics Inc. Common Stock,LOGC
4408,Logitech International S.A. Ordinary Shares,LOGI
4409,Live Oak Mobility Acquisition Corp. Class A Common Stock,LOKM
4410,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,LOMA
4411,Loop Industries Inc. Common Stock,LOOP
4412,Grand Canyon Education Inc. Common Stock,LOPE
4413,Loral Space and Communications Inc. Common Stock,LORL
4414,CarLotz Inc. Class A Common Stock,LOTZ
4415,CarLotz Inc. Warrant,LOTZW
4416,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),LOV
4417,The Lovesac Company Common Stock,LOVE
4418,Lowe's Companies Inc. Common Stock,LOW
4419,Lipocine Inc. Common Stock,LPCN
4420,Dorian LPG Ltd. Common Stock,LPG
4421,Laredo Petroleum Inc. Common Stock,LPI
4422,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,LPL
4423,LPL Financial Holdings Inc. Common Stock,LPLA
4424,Open Lending Corporation Class A Common Stock,LPRO
4425,LivePerson Inc. Common Stock,LPSN
4426,LightPath Technologies Inc. Class A Common Stock,LPTH
4427,Leap Therapeutics Inc. Common Stock,LPTX
4428,Louisiana-Pacific Corporation Common Stock,LPX
4429,Liquidia Corporation Common Stock,LQDA
4430,Liquidity Services Inc. Common Stock,LQDT
4431,Lam Research Corporation Common Stock,LRCX
4432,Logan Ridge Finance Corporation Common Stock,LRFC
4433,Larimar Therapeutics Inc. Common Stock,LRMR
4434,Stride Inc. Common Stock,LRN
4435,Lake Shore Bancorp Inc. Common Stock,LSBK
4436,Lattice Semiconductor Corporation Common Stock,LSCC
4437,Landsea Homes Corporation Common Stock,LSEA
4438,Landsea Homes Corporation Warrant,LSEAW
4439,Laird Superfood Inc. Common Stock,LSF
4440,Life Storage Inc. Common Stock,LSI
4441,Lightspeed Commerce Inc. Subordinate Voting Shares,LSPD
4442,Landstar System Inc. Common Stock,LSTR
4443,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,LSXMA
4444,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,LSXMB
4445,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,LSXMK
4446,Lightbridge Corporation Common Stock,LTBR
4447,LTC Properties Inc. Common Stock,LTC
4448,Latch Inc. Common Stock,LTCH
4449,Latch Inc. Warrant expiring 6/4/2026,LTCHW
4450,Life Time Group Holdings Inc. Common Stock,LTH
4451,Livent Corporation Common Stock,LTHM
4452,Lantern Pharma Inc. Common Stock,LTRN
4453,Liberty TripAdvisor Holdings Inc. Series A Common Stock,LTRPA
4454,Liberty TripAdvisor Holdings Inc. Series B Common Stock,LTRPB
4455,Lantronix Inc. Common Stock,LTRX
4456,Lufax Holding Ltd American Depositary Shares two of which representing one Ordinary Share,LU
4457,Luby's Inc. Common Stock,LUB
4458,Lucid Diagnostics Inc. Common Stock,LUCD
4459,lululemon athletica inc. Common Stock,LULU
4460,Lumen Technologies Inc. Common Stock,LUMN
4461,Lumos Pharma Inc. Common Stock,LUMO
4462,Luna Innovations Incorporated Common Stock,LUNA
4463,Pulmonx Corporation Common Stock,LUNG
4464,Southwest Airlines Company Common Stock,LUV
4465,Lux Health Tech Acquisition Corp. Class A Common Stock,LUXA
4466,Lux Health Tech Acquisition Corp. Units,LUXAU
4467,Lux Health Tech Acquisition Corp. Warrants,LUXAW
4468,LiveOne Inc. Common Stock,LVO
4469,LiveVox Holding Inc. Class A Common Stock,LVOX
4470,LiveVox Holding Inc. Warrant,LVOXW
4471,Levere Holdings Corp. Class A Ordinary Shares,LVRA
4472,Levere Holdings Corp. Warrant,LVRAW
4473,Las Vegas Sands Corp. Common Stock,LVS
4474,LAVA Therapeutics N.V. Ordinary Shares,LVTX
4475,Lamb Weston Holdings Inc. Common Stock ,LW
4476,Lifeway Foods Inc. Common Stock,LWAY
4477,Lightwave Logic Inc. Common Stock,LWLG
4478,LexinFintech Holdings Ltd. American Depositary Shares,LX
4479,Lixiang Education Holding Co. Ltd. American Depositary Shares,LXEH
4480,Luxfer Holdings PLC Ordinary Shares,LXFR
4481,Lexington Realty Trust Common Stock,LXP
4482,Lexington Realty Trust  Preferred Conv. Series C,LXP^C
4483,Lexicon Pharmaceuticals Inc. Common Stock,LXRX
4484,LSB Industries Inc. Common Stock,LXU
4485,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),LYB
4486,Lyell Immunopharma Inc. Common Stock,LYEL
4487,Lyft Inc. Class A Common Stock,LYFT
4488,Lloyds Banking Group Plc American Depositary Shares,LYG
4489,Dragon Victory International Limited Ordinary Shares,LYL
4490,Lyra Therapeutics Inc. Common Stock,LYRA
4491,LSI Industries Inc. Common Stock,LYTS
4492,Live Nation Entertainment Inc. Common Stock,LYV
4493,LegalZoom.com Inc. Common Stock,LZ
4494,La-Z-Boy Incorporated Common Stock,LZB
4495,Macy's Inc Common Stock,M
4496,Mastercard Incorporated Common Stock,MA
4497,Mid-America Apartment Communities Inc. Common Stock,MAA
4498,Mid-America Apartment Communities Inc. 8.50% Series I Cumulative Redeemable Preferred Stock,MAA^I
4499,Macerich Company (The) Common Stock,MAC
4500,Moringa Acquisition Corp Class A Ordinary Shares,MACA
4501,Moringa Acquisition Corp Units,MACAU
4502,Moringa Acquisition Corp Warrant,MACAW
4503,Mission Advancement Corp. Class A Common Stock,MACC
4504,Merrimack Pharmaceuticals Inc. Common Stock,MACK
4505,MCAP Acquisition Corporation Class A Common Stock,MACQ
4506,MCAP Acquisition Corporation Unit,MACQU
4507,MCAP Acquisition Corporation Warrants,MACQW
4508,Mallard Acquisition Corp. Common stock,MACU
4509,Mallard Acquisition Corp. Warrant,MACUW
4510,MAG Silver Corporation Ordinary Shares,MAG
4511,Main Street Capital Corporation Common Stock,MAIN
4512,ManpowerGroup Common Stock,MAN
4513,Manhattan Associates Inc. Common Stock,MANH
4514,ManTech International Corporation Common Stock $0.01 Par Value,MANT
4515,Manchester United Ltd. Class A Ordinary Shares,MANU
4516,WM Technology Inc. Class A Common Stock ,MAPS
4517,WM Technology Inc. Warrants ,MAPSW
4518,Maquia Capital Acquisition Corporation Class A Common Stock,MAQC
4519,Maquia Capital Acquisition Corporation Unit,MAQCU
4520,Maquia Capital Acquisition Corporation Warrant,MAQCW
4521,Marriott International Class A Common Stock,MAR
4522,Marathon Digital Holdings Inc. Common Stock,MARA
4523,Remark Holdings Inc. Common Stock,MARK
4524,Marine Petroleum Trust Units of Beneficial Interest,MARPS
4525,Masco Corporation Common Stock,MAS
4526,Masimo Corporation Common Stock,MASI
4527,908 Devices Inc. Common Stock,MASS
4528,Mattel Inc. Common Stock,MAT
4529,Matthews International Corporation Class A Common Stock,MATW
4530,Matson Inc. Common Stock,MATX
4531,Pioneer Municipal High Income Advantage Fund Inc.,MAV
4532,MediaAlpha Inc. Class A Common Stock,MAX
4533,Maxeon Solar Technologies Ltd. Ordinary Shares,MAXN
4534,Maxar Technologies Inc.,MAXR
4535,J. W. Mays Inc. Common Stock,MAYS
4536,M3-Brigade Acquisition II Corp. Class A Common Stock,MBAC
4537,Middlefield Banc Corp. Common Stock,MBCN
4538,MBIA Inc. Common Stock,MBI
4539,Marrone Bio Innovations Inc. Common Stock,MBII
4540,Merchants Bancorp Common Stock,MBIN
4541,Merchants Bancorp Depositary Shares Preferred Series C,MBINN
4542,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series B  Fixed-to-Floating Rate,MBINO
4543,Merchants Bancorp 7.00% Fixed-to-Floating Rate Series A Non-Cumulative Perpetual Preferred Stock,MBINP
4544,Mustang Bio Inc. Common Stock,MBIO
4545,Medallion Bank Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,MBNKP
4546,Microbot Medical Inc. Common Stock,MBOT
4547,Moleculin Biotech Inc. Common Stock,MBRX
4548,Mobile TeleSystems PJSC,MBT
4549,Nocturne Acquisition Corporation Ordinary Shares,MBTC
4550,Nocturne Acquisition Corporation Unit,MBTCU
4551,Malibu Boats Inc. Class A Common Stock,MBUU
4552,Mercantile Bank Corporation Common Stock,MBWM
4553,Moelis & Company Class A Common Stock,MC
4554,Blackrock MuniYield California Quality Fund Inc. Common Stock,MCA
4555,Mountain Crest Acquisition Corp. II Common Stock,MCAD
4556,Mountain Crest Acquisition Corp. II Right,MCADR
4557,Mountain Crest Acquisition Corp. II Unit,MCADU
4558,Mountain Crest Acquisition Corp. III Common Stock,MCAE
4559,Mountain Crest Acquisition Corp. III Right,MCAER
4560,Mountain Crest Acquisition Corp. III Unit,MCAEU
4561,Mountain Crest Acquisition Corp. IV Common Stock,MCAF
4562,Mountain Crest Acquisition Corp. IV Rights,MCAFR
4563,Metropolitan Bank Holding Corp. Common Stock,MCB
4564,Macatawa Bank Corporation Common Stock,MCBC
4565,MetroCity Bankshares Inc. Common Stock,MCBS
4566,McDonald's Corporation Common Stock,MCD
4567,Contango Oil & Gas Company Common Stock (TX),MCF
4568,McAfee Corp. Class A Common Stock,MCFE
4569,MasterCraft Boat Holdings Inc. Common Stock,MCFT
4570,Membership Collective Group Inc. Class A Common Stock,MCG
4571,Microchip Technology Incorporated Common Stock,MCHP
4572,Marchex Inc. Class B Common Stock,MCHX
4573,Barings Corporate Investors Common Stock,MCI
4574,McKesson Corporation Common Stock,MCK
4575,Merida Merger Corp. I Common Stock,MCMJ
4576,Merida Merger Corp. I Warrant,MCMJW
4577,Madison Covered Call & Equity Strategy Fund Common Stock,MCN
4578,Moody's Corporation Common Stock,MCO
4579,MFS Charter Income Trust Common Stock,MCR
4580,Seres Therapeutics Inc. Common Stock,MCRB
4581,Monarch Casino & Resort Inc. Common Stock,MCRI
4582,Marcus Corporation (The) Common Stock,MCS
4583,Mister Car Wash Inc. Common Stock,MCW
4584,Mercury General Corporation Common Stock,MCY
4585,Mednax Inc. Common Stock,MD
4586,MongoDB Inc. Class A Common Stock,MDB
4587,M.D.C. Holdings Inc. Common Stock,MDC
4588,Madrigal Pharmaceuticals Inc. Common Stock,MDGL
4589,Medigus Ltd. American Depositary Shares,MDGS
4590,Medigus Ltd. Series C Warrant,MDGSW
4591,MDH Acquisition Corp. Class A Common Stock,MDH
4592,Mediaco Holding Inc. Class A Common Stock ,MDIA
4593,MDJM LTD Ordinary Share,MDJH
4594,Medallia Inc. Common Stock,MDLA
4595,Mondelez International Inc. Class A Common Stock,MDLZ
4596,Medicenna Therapeutics Corp. Common Shares,MDNA
4597,Meredith Corporation Common Stock,MDP
4598,Medalist Diversified REIT Inc. Common Stock,MDRR
4599,Medalist Diversified REIT Inc. Series A Cumulative Redeemable Preferred Stock,MDRRP
4600,Allscripts Healthcare Solutions Inc. Common Stock,MDRX
4601,Medtronic plc. Ordinary Shares,MDT
4602,MDU Resources Group Inc. Common Stock (Holding Company),MDU
4603,Modiv Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,MDVA
4604,MedAvail Holdings Inc. Common Stock,MDVL
4605,MediWound Ltd. Ordinary Shares,MDWD
4606,Midwest Holding Inc. Common Stock,MDWT
4607,MiMedx Group Inc Common Stock,MDXG
4608,23andMe Holding Co. Class A Common Stock,ME
4609,Mercury Ecommerce Acquisition Corp Class A Common Stock,MEAC
4610,Mercury Ecommerce Acquisition Corp Unit,MEACU
4611,Mercury Ecommerce Acquisition Corp Warrants,MEACW
4612,Mayville Engineering Company Inc. Common Stock,MEC
4613,MEDIFAST INC Common Stock,MED
4614,Medpace Holdings Inc. Common Stock,MEDP
4615,TRxADE HEALTH Inc. Common Stock,MEDS
4616,Montrose Environmental Group Inc. Common Stock,MEG
4617,Methode Electronics Inc. Common Stock,MEI
4618,MEI Pharma Inc. Common Stock,MEIP
4619,MELI Kaszek Pioneer Corp Class A Ordinary Shares,MEKA
4620,MercadoLibre Inc. Common Stock,MELI
4621,Minority Equality Opportunities Acquisition Inc. Class A Common Stock,MEOA
4622,Minority Equality Opportunities Acquisition Inc. Units,MEOAU
4623,Minority Equality Opportunities Acquisition Inc. Warrants,MEOAW
4624,Methanex Corporation Common Stock,MEOH
4625,Bank of America Corporation Income Capital Obligation Notes initially due December 15 2066,MER^K
4626,Mercer International Inc. Common Stock,MERC
4627,Mesa Air Group Inc. Common Stock,MESA
4628,Mesoblast Limited American Depositary Shares,MESO
4629,MetLife Inc. Common Stock,MET
4630,MetLife Inc. Preferred Series A Floating Rate,MET^A
4631,MetLife Inc. Depositary shares each representing a 1/1000th interest in a share of the Issuera??s 5.625% Non-Cumulative Preferred Stock Series E.,MET^E
4632,MetLife Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.75% Non-Cumulative Preferred Stock Series F,MET^F
4633,Ramaco Resources Inc. Common Stock,METC
4634,Ramaco Resources Inc. 9.00% Senior Notes due 2026,METCL
4635,Meten Holding Group Ltd. Ordinary Shares,METX
4636,Meten Holding Group Ltd. Warrant,METXW
4637,23andMe Holding Co. Warrant,MEUSW
4638,Missfresh Limited American Depositary Shares,MF
4639,MFA Financial Inc.,MFA
4640,MFA Financial Inc. Preferred Series B,MFA^B
4641,MFA Financial Inc. 6.50% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,MFA^C
4642,Manulife Financial Corporation Common Stock,MFC
4643,Macquarie First Trust Global Common Stock,MFD
4644,Mizuho Financial Group Inc. Sponosred ADR (Japan),MFG
4645,Micro Focus Intl PLC ADS each representing One Ord Sh,MFGP
4646,Mercurity Fintech Holding Inc. ADS,MFH
4647,Medallion Financial Corp. Common Stock,MFIN
4648,Blackrock MuniHoldings Investment Quality Fund Common Shares of Beneficial Interest,MFL
4649,MFS Municipal Income Trust Common Stock,MFM
4650,MFS Special Value Trust Common Stock,MFV
4651,Mistras Group Inc Common Stock,MG
4652,Magna International Inc. Common Stock,MGA
4653,MGE Energy Inc,MGEE
4654,MFS Government Markets Income Trust Common Stock,MGF
4655,Moneygram International Inc. Common Stock,MGI
4656,Magic Software Enterprises Ltd. Ordinary Shares,MGIC
4657,Magellan Health Inc. Common Stock,MGLN
4658,MGM Resorts International Common Stock,MGM
4659,Magnite Inc. Common Stock,MGNI
4660,MacroGenics Inc. Common Stock,MGNX
4661,MGM Growth Properties LLC Class A common shares representing limited liability company interests,MGP
4662,MGP Ingredients Inc.,MGPI
4663,Affiliated Managers Group Inc. 5.875% Junior Subordinated Notes due 2059,MGR
4664,Affiliated Managers Group Inc. 4.750% Junior Subordinated Notes due 2060,MGRB
4665,McGrath RentCorp Common Stock,MGRC
4666,Affiliated Managers Group Inc. 4.200% Junior Subordinated Notes due 2061,MGRD
4667,Magenta Therapeutics Inc. Common Stock,MGTA
4668,MeiraGTx Holdings plc Ordinary Shares,MGTX
4669,Macquarie Global Infrastructure Total Return Fund Inc. Common Stock,MGU
4670,Magnolia Oil & Gas Corporation Class A Common Stock,MGY
4671,Magyar Bancorp Inc. Common Stock,MGYR
4672,Maiden Holdings Ltd. Pref Shs Ser A (Bermuda),MH^A
4673,Maiden Holdings North America Ltd. 7.125% Non-Cumulative Preference Shares Series C,MH^C
4674,Maiden Holdings Ltd. 6.700% Non-Cumulative Preference Shares Series D,MH^D
4675,Blackrock MuniHoldings Fund Inc. Common Stock,MHD
4676,Western Asset Municipal High Income Fund Inc. Common Stock,MHF
4677,Mastech Digital Inc Common Stock,MHH
4678,Pioneer Municipal High Income Fund Inc.,MHI
4679,Mohawk Industries Inc. Common Stock,MHK
4680,Maiden Holdings Ltd. 6.625% Notes due 2046,MHLA
4681,Maiden Holdings Ltd.,MHLD
4682,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,MHN
4683,Maiden Holdings North America Ltd. 7.75% Notes due 2043,MHNC
4684,M/I Homes Inc. Common Stock,MHO
4685,Macquarie Infrastructure Holdings LLC Common Unit,MIC
4686,MICT Inc. Common Stock,MICT
4687,Middleby Corporation (The) Common Stock,MIDD
4688,Mawson Infrastructure Group Inc. Common Stock,MIGI
4689,Metromile Inc. Common Stock,MILE
4690,Metromile Inc. Warrant ,MILEW
4691,Mimecast Limited Ordinary Shares,MIME
4692,Airspan Networks Holdings Inc. Common Stock,MIMO
4693,MFS Intermediate Income Trust Common Stock,MIN
4694,MIND Technology Inc. Common Stock (DE),MIND
4695,MIND Technology Inc. Series A 9.00% Series A Cumulative Preferred Stock (DE),MINDP
4696,Minim Inc. Common Stock,MINM
4697,Pioneer Municipal High Income Opportunities Fund Inc. Common Stock,MIO
4698,Mirion Technologies Inc. Class A Common Stock,MIR
4699,Mirum Pharmaceuticals Inc. Common Stock,MIRM
4700,Miromatrix Medical Inc. Common Stock,MIRO
4701,Milestone Pharmaceuticals Inc. Common Shares,MIST
4702,Mason Industrial Technology Inc. Class A Common Stock,MIT
4703,Coliseum Acquisition Corp. Class A Ordinary Share,MITA
4704,Coliseum Acquisition Corp. Unit,MITAU
4705,Coliseum Acquisition Corp. Warrant,MITAW
4706,MeaTech 3D Ltd. American Depositary Shares,MITC
4707,Mitek Systems Inc. Common Stock,MITK
4708,Stealth BioTherapeutics Corp. ADS,MITO
4709,Moving iMage Technologies Inc. Common Stock,MITQ
4710,AG Mortgage Investment Trust Inc. Common Stock,MITT
4711,AG Mortgage Investment Trust Inc. 8.25% Preferred Series A,MITT^A
4712,AG Mortgage Investment Trust Inc. Preferred Series B,MITT^B
4713,AG Mortgage Investment Trust Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock $0.01 par value per share,MITT^C
4714,MiX Telematics Limited American Depositary Shares each representing 25 Ordinary Shares,MIXT
4715,Blackrock MuniYield Michigan Quality Fund Inc. Common Stock,MIY
4716,McCormick & Company Incorporated Common Stock,MKC
4717,Molecular Data Inc. American Depositary Shares,MKD
4718,Markforged Holding Corporation Common Stock,MKFG
4719,Markel Corporation Common Stock,MKL
4720,MKS Instruments Inc. Common Stock,MKSI
4721,MarketWise Inc. Class A Common Stock,MKTW
4722,MarketWise Inc. Warrant,MKTWW
4723,MarketAxess Holdings Inc. Common Stock,MKTX
4724,Mechanical Technology Incorporated Common Stock (Nevada),MKTY
4725,Mechanical Technology Incorporated 9.0% Series A Cumulative Perpetual Preferred Stock,MKTYP
4726,MoneyLion Inc. Class A Common Stock,ML
4727,Mesa Laboratories Inc. Common Stock,MLAB
4728,Malacca Straits Acquisition Company Limited Class A Ordinary Shares,MLAC
