,Company Name,Ticker
182,AudioEye Inc. Common Stock,AEYE
183,Aeterna Zentaris Inc. Common Stock,AEZS
184,AF Acquisition Corp. Class A Common Stock,AFAQ
185,AF Acquisition Corp. Units,AFAQU
186,AF Acquisition Corp. Warrants,AFAQW
187,AllianceBernstein National Municipal Income Fund Inc,AFB
188,Affinity Bancshares Inc. Common Stock (MD),AFBI
189,AFC Gamma Inc. Common Stock,AFCG
190,American Financial Group Inc. Common Stock,AFG
191,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,AFGB
192,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,AFGC
193,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,AFGD
194,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,AFGE
195,Armstrong Flooring Inc. Common Stock,AFI
196,Acutus Medical Inc. Common Stock,AFIB
197,American Finance Trust Inc. Class A Common Stock,AFIN
198,American Finance Trust Inc. 7.375% Series C Cumulative Redeemable Preferred Stock,AFINO
199,American Finance Trust Inc. 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock,AFINP
200,AFLAC Incorporated Common Stock,AFL
201,Affimed N.V.,AFMD
202,Affirm Holdings Inc. Class A Common Stock,AFRM
203,Apollo Senior Floating Rate Fund Inc. Common Stock,AFT
204,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,AFTR
205,Afya Limited Class A Common Shares,AFYA
206,First Majestic Silver Corp. Ordinary Shares (Canada),AG
207,African Gold Acquisition Corporation Class A Ordinary Shares,AGAC
208,AGBA Acquisition Limited Ordinary Share,AGBA
209,AGBA Acquisition Limited Right,AGBAR
210,AGBA Acquisition Limited Unit,AGBAU
211,AGBA Acquisition Limited Warrant,AGBAW
212,Altimeter Growth Corp. Class A Ordinary Shares,AGC
213,Altimeter Growth Corp. 2 Class A Ordinary Shares,AGCB
214,AGCO Corporation Common Stock,AGCO
215,Altimeter Growth Corp. Unit,AGCUU
216,Altimeter Growth Corp. Warrant,AGCWW
217,Aberdeen Global Dynamic Dividend Fund,AGD
218,AgeX Therapeutics Inc. Common Stock,AGE
219,Agenus Inc. Common Stock,AGEN
220,AgroFresh Solutions Inc. Common Stock,AGFS
221,Agrify Corporation Common Stock,AGFY
222,Agile Growth Corp. Class A Ordinary Share,AGGR
223,Agile Growth Corp. Units,AGGRU
224,Agile Growth Corp. Warrant.,AGGRW
225,Alamos Gold Inc. Class A Common Shares,AGI
226,AgileThought Inc. Class A Common Stock,AGIL
227,AgileThought Inc. Warrant,AGILW
228,Agios Pharmaceuticals Inc. Common Stock,AGIO
229,agilon health inc. Common Stock,AGL
230,Aeglea BioTherapeutics Inc. Common Stock,AGLE
231,Federal Agricultural Mortgage Corporation Common Stock,AGM
232,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,AGM^C
233,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,AGM^D
234,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,AGM^E
235,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,AGM^F
236,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,AGM^G
237,AGM Group Holdings Inc. Class A Ordinary Shares,AGMH
238,AGNC Investment Corp. Common Stock,AGNC
239,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM
240,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,AGNCN
241,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCO
242,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,AGNCP
243,Assured Guaranty Ltd. Common Stock,AGO
244,Avangrid Inc. Common Stock,AGR
245,AgriFORCE  Growing Systems Ltd. Common Shares,AGRI
246,AgriFORCE  Growing Systems Ltd. Warrant,AGRIW
247,Adecoagro S.A. Common Shares,AGRO
248,Agile Therapeutics Inc. Common Stock,AGRX
249,PlayAGS Inc. Common Stock,AGS
250,Applied Genetic Technologies Corporation Common Stock,AGTC
251,Agiliti Inc. Common Stock,AGTI
252,Argan Inc. Common Stock,AGX
253,Agilysys Inc. Common Stock,AGYS
254,AdaptHealth Corp. Common Stock,AHCO
255,Armada Hoffler Properties Inc. Common Stock,AHH
